,0,1,2,3,4,5,6,7,8
[-1  0  0  0  0  1  0  0  0],-0.8195283232682512,0.4993018651509993,1.873135480734718,0.7430625857599812,0.454996806588616,-1.2132321726994355,0.3029230995892416,0.11028571141072693,1.079123604652569
[-1  0  0  0  0  1  1  0 -1],-0.5319023297508071,0.36862140348100003,0.29497869762886864,0.11906904086587011,1.9996067458990487,-0.24208364225832305,-0.3507346594778152,0.21224179900000004,-0.16908363806631604
[-1  0  1  0  0  1  1 -1 -1],0.0,0.0,-0.18100000000000002,0.0,1.37237880782,-0.18100000000000002,-0.644314411,-0.134659,-0.134659
[-1  0  1  0 -1  1  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1 -1  0  0  0  0 -1],0.38019719065086566,0.9782113426609311,-1.114651682002581,-0.7439007922165211,0.20808396496942239,0.10491502519364289,0.2598836721650127,0.03412376315620474,-0.9114997518014056
[ 0  0  1 -1  1  0 -1  0 -1],0.10435068605477481,-0.16390000000000002,-0.5299086646744711,-0.549013062120389,-0.3783755,-0.271,-1.0477805639858209,-0.19750789000000002,-0.5484134500000001
[-1  1  1 -1  1  0 -1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0  0 -1  0  1],0.3018407313134435,0.08518725252715942,1.2153298913382042,0.3531631616673989,1.5361569239181059,0.06537508072227632,-0.9940503745632177,0.07703291275542315,-0.9954209815673623
[ 0  0 -1  0  0  1 -1  0  1],1.6334601056583953,1.248375604616379,-0.14308675817528585,1.4593623716695574,1.9999999999999991,-0.14502899300122346,-0.14846410824049286,0.9022688893193274,-0.1644493374556502
[ 0  0 -1  1  0  1 -1 -1  1],0.27260037555295424,-0.1,-0.11097378999999999,-0.26970310000000003,1.7298296564654017,-0.26251443393139,0.0,-0.34574086989999997,-0.134659
[ 0  0 -1  1 -1  1 -1 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  0 -1 -1  0  1  0  0],-0.2,0.019000000000000003,0.011851954900000001,-0.134659,0.0,1.2251590220000002,-0.134659,0.0034295000000000007,0.0
[ 1  1  0 -1 -1  0  1  0 -1],-0.2,0.0,0.0,0.0,0.0,0.542,0.0,-0.1,-0.2
[ 1  1  1 -1 -1  0  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  0 -1  0  0  1  0],0.24479473428434345,-0.5399622448779672,0.0077361343702877505,0.04823690804752993,-0.6559794039316154,0.07301547061450664,1.3175051066090897,-0.37837550000000003,0.3284168892375908
[ 0 -1  0  1 -1 -1  0  1  0],0.2159660007414442,-0.6706970835,0.0658067945,-0.8923617980003492,-0.5218600702810001,-0.79688909355,0.0,-0.5259342545500001,0.5369771083926108
[ 1 -1 -1  1 -1 -1  1  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0  0  0  0  0 -1  0],-0.7618733343390813,-0.3278207591444289,0.5460240364007489,0.06039828849178408,0.02420010158191422,0.048537094723792196,0.0,0.0,0.04078650406642808
[-1  0  0  0  0  0  0  0  0],-0.41436628972634104,0.7316572665834851,1.2035948684941218,0.7622257493702388,1.6698580112435142,1.0990701674320007,0.9152973467353118,1.030577066805698,0.7270940243944104
[-1  1  1  0  0  0  0 -1 -1],-0.6403276750831743,-0.2848821798656841,-0.44531621473214367,0.0,0.13011492619000004,-0.19,0.7966312455956576,0.0,-0.2
[-1  1  1 -1  0  1  0 -1 -1],-0.399,-0.561,-0.399,-0.399,-0.40951000000000004,-0.38,-0.271,-0.5781000000000001,-0.2
[-1  1  1 -1  1  1 -1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0 -1  0  0  0],1.5064321997156482,0.870807967505221,1.3761449768826677,0.8982972698956967,1.6837668546814866,-0.388801605879774,1.0504739735700368,0.6768677743757966,1.2791891953410655
[-1  1  0  0  0 -1  0  0  0],-1.011357701982349,-0.8773332065319136,0.053910231997321825,0.06674734640473658,0.20638295266140017,-0.590220811171261,0.009576589950000002,1.0906544785208725,0.021134123719
